name,reviewer,no_stars,review_body,guide,no_reviews,review-date,url,timestamp
SARPI | Georgian-Turkish border - Google Maps,Francis Mathel,1 star,Very Bad Experience. They don’t like black people.,,4 reviews,2 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURPMmJuWnZRRRAB",2024-10-09T07:03:53Z
SARPI | Georgian-Turkish border - Google Maps,L,5 stars,Super easy border Crossing. Watch out for annoying Georgian people who cut the line.,,36 reviews · 3 photos,7 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUNRNi1EQnB3RRAB",2024-10-09T07:03:54Z
SARPI | Georgian-Turkish border - Google Maps,Aidmar Zakaria,5 stars,"Direct and easy accessibility
Friendly treatment
Clear procedures",Local Guide · 214 reviews · 57 photos,Local Guide · 214 reviews · 57 photos,2 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURPcjRHTkVREAE",2024-10-09T07:03:54Z
SARPI | Georgian-Turkish border - Google Maps,not shadowbanned yet,1 star,chaos,,22 reviews · 5 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURacDdPaUZREAE",2024-10-09T07:03:54Z
SARPI | Georgian-Turkish border - Google Maps,ASIM YAMAN,1 star,"The treatment is very bad, the smell of the toilettes reaches the lounge.",,212 reviews,6 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUNRZzUzT19RRRAB",2024-10-09T07:03:54Z
SARPI | Georgian-Turkish border - Google Maps,Nino Nioradze,5 stars,You can cross the border simply.,Local Guide · 59 reviews · 285 photos,Local Guide · 59 reviews · 285 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUMtcS1DODFBRRAB",2024-10-09T07:03:54Z
SARPI | Georgian-Turkish border - Google Maps,Samet Sarikaya,1 star,Full of with rude police officers... Learn some good manners please.,,22 reviews · 2 photos,4 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUNjNzVpem53RRAB",2024-10-09T07:03:55Z
SARPI | Georgian-Turkish border - Google Maps,Giorgi Tskhvediani,1 star,"Overcrowded, the worst managed border control from the Turkish side",Local Guide · 7 reviews · 399 photos,Local Guide · 7 reviews · 399 photos,6 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURReE4tRjBnRRAB",2024-10-09T07:03:55Z
SARPI | Georgian-Turkish border - Google Maps,Peter Ganev,5 stars,This not work 24 hours. Only working from 10:00 to 18:00h,Local Guide · 6 reviews · 2 photos,Local Guide · 6 reviews · 2 photos,3 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURpN0tfMEtBEAE",2024-10-09T07:03:55Z
SARPI | Georgian-Turkish border - Google Maps,Hassan Ismail,1 star,"The worst border point I've ever pass, overcrowded and bad treatment",Local Guide · 117 reviews · 794 photos,Local Guide · 117 reviews · 794 photos,5 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUNZeVliU2J3EAE",2024-10-09T07:03:55Z
SARPI | Georgian-Turkish border - Google Maps,Gocha Gogolashvili,5 stars,one of the best place to get relax in Georgia,Local Guide · 11 reviews · 8 photos,Local Guide · 11 reviews · 8 photos,4 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUNDMmNxWFhnEAE",2024-10-09T07:03:55Z
SARPI | Georgian-Turkish border - Google Maps,Mahmoud Alrifai,1 star,The worst border cross I have visited,"Local Guide · 153 reviews · 2,713 photos","Local Guide · 153 reviews · 2,713 photos",5 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURVekpuNkNnEAE",2024-10-09T07:03:56Z
SARPI | Georgian-Turkish border - Google Maps,Kuizer Soze,5 stars,🤝 …,Local Guide · 182 reviews · 18 photos,Local Guide · 182 reviews · 18 photos,2 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURPM3JPVnh3RRAB",2024-10-09T07:03:56Z
SARPI | Georgian-Turkish border - Google Maps,Jaba Nachkebia,5 stars,Great service. Lines sometimes,"Local Guide · 620 reviews · 1,519 photos","Local Guide · 620 reviews · 1,519 photos",8 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUN3MDlDWlNREAE",2024-10-09T07:03:56Z
SARPI | Georgian-Turkish border - Google Maps,Tornike Gegeshidze,4 stars,noting to see but they do their job,Local Guide · 293 reviews · 31 photos,Local Guide · 293 reviews · 31 photos,8 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUNnbXNlSTlnRRAB",2024-10-09T07:03:56Z
SARPI | Georgian-Turkish border - Google Maps,Giorgi Khujadze,5 stars,My work,,5 reviews · 1 photo,11 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURBNHIzNWp3RRAB",2024-10-09T07:03:57Z
SARPI | Georgian-Turkish border - Google Maps,faxri iusubov Iusubov,5 stars,"sarpi ra mehrapa turk milet
'",,30 reviews · 57 photos,8 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUNBZ01POGZREAE",2024-10-09T07:03:57Z
SARPI | Georgian-Turkish border - Google Maps,Firas Abo Gharbiah,5 stars,Fast and welcoming,Local Guide · 48 reviews · 94 photos,Local Guide · 48 reviews · 94 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUNabHZIaTBRRRAB",2024-10-09T07:03:57Z
SARPI | Georgian-Turkish border - Google Maps,Natalia Gridchina,5 stars,Super,Local Guide · 63 reviews · 3 photos,Local Guide · 63 reviews · 3 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUN4MzREakNnEAE",2024-10-09T07:03:57Z
SARPI | Georgian-Turkish border - Google Maps,Manar Alobaidi,1 star,The border nothing interesting in it,Local Guide · 50 reviews · 15 photos,Local Guide · 50 reviews · 15 photos,6 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURRbWFidGdRRRAB",2024-10-09T07:03:57Z
SARPI | Georgian-Turkish border - Google Maps,Pavel Raduke,5 stars,🇬🇪 …,Local Guide · 58 reviews · 118 photos,Local Guide · 58 reviews · 118 photos,3 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUNxbk02U1ZREAE",2024-10-09T07:03:58Z
SARPI | Georgian-Turkish border - Google Maps,Aliaksandr Shchurok,5 stars,Fast and easy!,Local Guide · 157 reviews · 37 photos,Local Guide · 157 reviews · 37 photos,2 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUN1eTdpVVJBEAE",2024-10-09T07:03:58Z
SARPI | Georgian-Turkish border - Google Maps,ზურა გაბრიჭიძე,5 stars,Good,Local Guide · 21 reviews · 556 photos,Local Guide · 21 reviews · 556 photos,3 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUNhak9TRm1RRRAB",2024-10-09T07:03:58Z
SARPI | Georgian-Turkish border - Google Maps,Mustafa KARAOSMANOĞLU,5 stars,George,,2 reviews · 6 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUQtdGNHRkNBEAE",2024-10-09T07:03:58Z
SARPI | Georgian-Turkish border - Google Maps,Deni De vitali,5 stars,fastest service,Local Guide · 134 reviews · 55 photos,Local Guide · 134 reviews · 55 photos,8 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUN3eHBpM3JBRRAB",2024-10-09T07:03:58Z
SARPI | Georgian-Turkish border - Google Maps,Mamuka Bochorishvili,5 stars,excellent service,Local Guide · 446 reviews · 317 photos,Local Guide · 446 reviews · 317 photos,8 years ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUN3MnZQVXJRRRAB",2024-10-09T07:03:58Z
SARPI | Georgian-Turkish border - Google Maps,SHALVA MINDADZE (HISTORIAN),5 stars,Amazing Place,"Local Guide · 81 reviews · 1,968 photos","Local Guide · 81 reviews · 1,968 photos",a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUNCdjZ2M21nRRAB",2024-10-09T07:03:59Z
SARPI | Georgian-Turkish border - Google Maps,FURKAN BARLAS,1 star,"It can get very crowded on public holidays. We crossed into Georgia through the steep customs gate during the holiday, or rather, we suffered for 2 hours. The police and customs officers on the Turkish side are understanding, but those on …. More",Local Guide · 65 reviews · 328 photos,Local Guide · 65 reviews · 328 photos,2 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUNycGZxVW1BRRAB",2024-10-09T07:03:59Z
SARPI | Georgian-Turkish border - Google Maps,Максим Прилепский,4 stars,"Great item, they work quickly.
They sell SIM cards, insurance and other travel goods nearby. Near the village there is a beautiful waterfall; in the village there is an ancient temple of the …. More",,4 reviews · 13 photos,4 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUNUb192MDRRRRAB",2024-10-09T07:03:59Z
SARPI | Georgian-Turkish border - Google Maps,杜杜,1 star,"The Georgian side went to Türkiye!
There are very, very many people
Everyone is crowded together! No queue at all! …. More",Local Guide · 117 reviews · 237 photos,Local Guide · 117 reviews · 237 photos,a month ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUM3ak5iWFp3EAE",2024-10-09T07:03:59Z
SARPI | Georgian-Turkish border - Google Maps,Mustafa,4 stars,"The staff does their best, but it can be very busy between 10:00 and 16:00. Either go early or late. Otherwise you may wait too long. I did not see a negative approach from either Turkish or Georgian staff.","Local Guide · 777 reviews · 2,461 photos","Local Guide · 777 reviews · 2,461 photos",2 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURyOTVfSU1REAE",2024-10-09T07:03:59Z
SARPI | Georgian-Turkish border - Google Maps,MURAT ÖZTÜRK ÇEVİK,4 stars,There is a 500₺ international departure fee. There is a parking lot on the right before you come to the customs gate. You can also park the car and buy Lari.,Local Guide · 251 reviews · 703 photos,Local Guide · 251 reviews · 703 photos,a month ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUQ3MFkyVXBRRRAB",2024-10-09T07:04:00Z
SARPI | Georgian-Turkish border - Google Maps,Selçuk Arslan,2 stars,"The border gate we used to go to Batumi. When we went there was a very unexpected queue. However, the indifference of the Georgian employees, their constant busyness on the phone, and the fact that they call the Georgians and pick them up before you while you are waiting may strain your patience.",Local Guide · 52 reviews · 53 photos,Local Guide · 52 reviews · 53 photos,5 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUREdnUtX19RRRAB",2024-10-09T07:04:00Z
